url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
47,0,2,0,0,-1,0,0,-1,-1,1
20,0,1,1,0,-1,0,0,1,0,0
33,0,1,1,0,-1,0,0,0,1,0
96,0,3,0,0,-1,0,0,0,0,1
53,0,3,0,1,-1,0,0,0,0,0
68,0,4,1,3,-1,0,0,-1,-1,1
32,0,4,0,3,-1,0,0,-1,-1,1
56,0,3,0,0,-1,0,0,0,0,1
60,0,3,0,1,-1,0,0,0,0,0
37,0,2,1,0,-1,0,0,0,0,0
27,0,1,1,0,-1,0,0,1,0,1
25,0,1,0,0,-1,0,0,1,0,0
63,0,2,0,1,-1,0,0,1,0,0
53,0,3,0,1,-1,0,0,0,0,0
73,0,2,0,1,-1,0,0,0,0,0
26,0,2,1,1,-1,0,0,-1,-1,1
100,0,2,1,1,-1,0,0,0,0,0
45,0,2,1,1,-1,0,0,-1,-1,1
235,0,2,0,0,-1,0,0,-1,-1,1
34,0,1,1,0,-1,0,0,0,0,1
48,0,2,1,0,-1,0,0,-1,-1,1
81,0,4,0,2,-1,0,0,0,0,1
64,0,3,0,1,-1,0,0,0,0,0
40,0,2,0,0,-1,0,0,-1,-1,1
78,0,4,1,1,-1,0,0,-1,-1,1
48,0,2,1,0,-1,0,0,0,0,1
79,0,2,1,1,-1,0,0,-1,-1,1
53,0,3,0,1,-1,0,0,0,0,0
47,0,3,1,1,-1,0,0,0,0,0
44,0,2,1,1,-1,0,0,0,0,0
32,0,1,1,0,-1,0,0,0,1,0
51,0,2,1,0,-1,0,0,-1,-1,1
32,0,1,1,0,-1,0,0,-1,-1,1
114,0,3,1,1,-1,0,0,-1,-1,1
40,0,3,1,2,-1,0,0,-1,-1,1
37,0,2,0,1,-1,0,0,0,0,1
36,0,1,0,0,-1,0,0,0,1,0
304,0,4,1,1,-1,0,0,0,0,1
28,0,1,1,0,-1,0,0,0,0,0
33,0,1,1,0,-1,0,0,0,1,0
45,0,2,1,1,-1,0,0,0,0,0
50,0,8,1,1,-1,0,0,0,0,1
22,0,1,1,0,-1,0,0,-1,-1,1
64,0,2,1,1,-1,0,0,-1,-1,1
67,0,4,0,3,-1,0,0,-1,-1,1
73,0,1,1,0,-1,0,0,0,0,0
56,0,3,0,1,-1,0,0,0,0,0
199,0,3,0,0,-1,0,0,-1,-1,1
52,0,3,0,1,-1,0,0,0,0,0
98,0,2,0,0,-1,0,0,0,0,1
219,0,2,1,1,-1,0,0,-1,-1,1
36,0,1,1,0,-1,0,0,0,0,0
50,0,2,0,0,-1,0,0,0,0,1
67,0,4,0,3,-1,0,0,-1,-1,1
44,0,3,1,2,-1,0,0,-1,-1,1
48,0,2,1,0,-1,0,0,-1,-1,1
54,0,2,1,1,-1,0,0,0,0,0
83,0,3,1,1,-1,0,0,0,0,1
53,0,3,0,1,-1,0,0,0,0,0
47,0,3,1,1,-1,0,0,0,0,1
151,1,9,0,0,-1,0,0,-1,-1,1
20,0,1,1,0,-1,0,0,1,0,0
76,0,2,0,1,-1,0,0,0,0,0
175,0,2,0,1,-1,0,0,0,0,1
132,0,1,1,0,-1,0,0,0,0,0
68,0,2,1,1,-1,0,0,0,0,0
60,0,2,0,1,-1,0,0,1,0,0
43,0,3,1,1,-1,0,0,0,0,0
32,0,2,1,1,-1,0,0,0,0,1
53,0,2,0,0,-1,0,0,0,0,1
39,0,2,1,1,-1,0,0,0,1,0
74,0,2,1,0,-1,0,0,-1,-1,1
88,0,1,1,0,-1,0,0,0,0,0
45,0,3,0,1,-1,0,0,0,0,0
22,0,2,1,1,-1,0,0,0,0,1
31,0,1,0,0,-1,0,0,-1,-1,1
41,0,2,0,0,-1,0,0,-1,-1,1
67,0,4,0,3,-1,0,0,-1,-1,1
63,0,2,0,1,-1,0,0,1,0,0
43,0,2,0,0,-1,0,0,-1,-1,1
108,0,3,1,0,-1,0,0,-1,-1,1
53,0,3,0,1,-1,0,0,0,0,0
51,0,1,1,0,-1,0,0,0,1,0
94,0,7,1,2,-1,0,0,-1,-1,1
54,0,2,0,0,-1,0,0,0,0,1
73,0,2,0,1,-1,0,0,0,0,0
67,0,4,0,3,-1,0,0,-1,-1,1
40,0,1,1,0,-1,0,0,0,1,0
32,0,1,1,0,-1,0,0,0,0,0
63,0,2,0,1,-1,0,0,0,0,0
30,0,2,0,1,-1,0,0,-1,-1,1
52,0,3,0,1,-1,0,0,0,0,0
114,0,5,0,1,-1,0,0,-1,-1,1
55,0,3,0,1,-1,0,0,0,0,0
32,0,1,1,0,-1,0,0,0,1,0
53,0,3,0,1,-1,0,0,0,0,0
33,0,1,1,0,-1,0,0,0,1,0
71,0,4,0,3,-1,0,0,-1,-1,1
51,0,3,0,1,-1,0,0,0,0,0
125,0,2,0,1,-1,0,0,-1,-1,1
36,0,2,1,1,-1,0,0,0,0,0
218,0,3,1,0,-1,0,0,1,0,1
30,0,2,1,0,-1,0,0,0,0,1
42,0,3,0,1,-1,0,0,0,0,0
43,0,4,0,3,-1,0,0,-1,-1,1
86,0,3,1,1,-1,0,0,-1,-1,1
72,0,4,1,3,-1,0,0,-1,-1,1
43,0,3,1,1,-1,0,0,0,0,0
24,0,1,0,0,-1,0,0,1,0,0
77,0,3,1,1,-1,0,0,0,0,1
72,0,2,1,1,-1,0,0,0,0,0
108,0,2,1,1,-1,0,0,0,0,0
64,0,1,0,0,-1,0,0,-1,-1,1
43,0,3,1,1,-1,0,0,0,0,0
210,0,2,1,0,-1,0,0,0,0,1
33,0,1,1,0,-1,0,0,0,1,0
23,0,1,1,0,-1,0,0,-1,-1,1
43,0,2,1,1,-1,0,0,1,0,0
46,0,1,1,0,-1,0,0,0,0,0
52,0,3,0,1,-1,0,0,0,0,0
35,0,2,1,1,-1,0,0,0,0,1
37,0,3,0,1,-1,0,0,0,0,0
66,0,3,0,1,-1,0,0,0,0,0
70,0,2,1,0,-1,0,0,0,0,1
25,0,1,0,0,-1,0,0,-1,-1,1
47,0,2,1,1,-1,0,0,0,0,1
56,0,3,0,1,-1,0,0,0,0,0
119,0,4,0,0,-1,0,0,-1,-1,1
31,0,1,1,0,-1,0,0,0,1,0
96,0,2,1,0,-1,0,0,1,0,0
38,0,2,0,1,-1,0,0,-1,-1,1
35,1,3,0,0,-1,0,0,-1,-1,1
52,0,3,0,1,-1,0,0,0,0,0
29,0,2,0,1,-1,0,0,0,0,1
58,0,2,1,0,-1,0,0,1,0,0
68,0,4,1,3,-1,0,0,-1,-1,1
31,0,2,0,1,-1,0,0,0,0,0
33,0,1,1,0,-1,0,0,0,1,0
73,0,1,1,0,-1,0,0,0,0,0
88,0,2,1,1,-1,0,0,0,0,0
40,0,3,0,1,-1,0,0,0,0,1
75,0,3,1,0,-1,0,0,1,0,1
47,0,2,1,1,-1,0,0,0,0,0
25,0,1,1,0,-1,0,0,0,0,0
37,0,1,1,0,-1,0,0,1,0,1
52,0,2,1,1,-1,0,0,-1,-1,1
53,0,3,0,1,-1,0,0,0,0,0
32,0,1,1,0,-1,0,0,0,1,0
60,0,3,0,1,-1,0,0,1,0,0
100,0,2,0,1,-1,0,0,0,0,0
61,0,1,1,0,-1,0,0,-1,-1,1
38,0,1,1,0,-1,0,0,1,0,1
36,0,1,1,0,-1,0,0,-1,-1,1
150,0,3,0,0,-1,0,0,-1,-1,1
32,0,1,1,0,-1,0,0,-1,-1,1
62,0,3,0,1,-1,0,0,0,0,0
58,0,3,0,1,-1,0,0,-1,-1,1
76,0,3,1,1,-1,0,0,-1,-1,1
55,0,3,0,1,-1,0,0,0,0,0
67,0,2,1,1,-1,0,0,0,0,1
29,0,2,1,1,-1,0,0,-1,-1,1
139,0,4,1,2,-1,0,0,-1,-1,1
46,0,2,1,1,-1,0,0,0,0,0
28,0,2,1,1,-1,0,0,-1,-1,1
44,0,3,0,1,-1,0,0,0,0,0
58,0,1,1,0,-1,0,0,0,0,0
307,0,2,0,0,-1,0,0,-1,-1,1
59,0,2,0,1,-1,0,0,1,0,0
99,0,2,1,1,-1,0,0,0,0,0
55,0,3,0,1,-1,0,0,0,0,0
37,0,2,1,0,-1,0,0,0,0,0
66,0,2,1,0,-1,0,0,-1,-1,1
37,0,3,0,1,-1,0,0,0,0,0
42,0,2,1,1,-1,0,0,-1,-1,1
49,0,2,0,1,-1,0,0,0,0,0
17,0,1,0,0,-1,0,0,0,0,0
115,0,2,0,0,-1,0,0,-1,-1,1
80,0,1,1,0,-1,0,0,0,0,1
34,0,2,1,0,-1,0,0,0,0,0
30,0,1,1,0,-1,0,0,-1,-1,1
62,0,2,0,1,-1,0,0,0,0,0
101,0,2,1,1,-1,0,0,0,0,0
34,0,2,0,1,-1,0,0,0,0,1
52,0,2,0,1,-1,0,0,1,0,0
110,0,1,1,0,-1,0,0,0,0,0
30,0,1,1,0,-1,0,0,-1,-1,1
189,0,2,1,0,-1,0,0,0,0,1
59,0,2,0,1,-1,0,0,1,0,0
45,0,2,1,1,-1,0,0,-1,-1,1
218,0,3,1,1,-1,0,0,-1,-1,1
56,0,2,0,1,-1,0,0,1,0,0
64,0,3,0,1,-1,0,0,0,0,0
57,1,4,0,0,-1,0,0,-1,-1,1
50,0,2,0,1,-1,0,0,1,0,0
37,0,2,1,1,-1,0,0,0,0,0
82,0,2,0,1,-1,0,0,-1,-1,1
52,0,3,0,1,-1,0,0,0,0,0
41,0,4,0,3,-1,0,0,-1,-1,1
35,0,2,0,0,-1,0,0,0,0,0
90,0,3,1,1,-1,0,0,0,0,0
68,0,4,1,3,-1,0,0,-1,-1,1
175,0,5,0,1,-1,0,0,-1,-1,1
94,0,2,1,1,-1,0,0,0,0,0
46,0,3,1,1,-1,0,0,0,0,0
44,1,3,0,0,-1,0,0,0,0,1
47,0,2,1,1,-1,0,0,0,0,0
94,0,1,1,0,-1,0,0,1,0,0
41,0,2,1,1,-1,0,0,-1,-1,1
51,0,5,0,3,-1,0,0,0,0,1
54,0,1,1,0,-1,0,0,1,0,0
33,0,1,1,0,-1,0,0,0,1,0
20,0,1,1,0,-1,0,0,0,0,1
64,0,2,0,1,-1,0,0,1,0,0
50,0,2,1,0,-1,0,0,1,0,1
37,0,1,0,0,-1,0,0,-1,-1,1
52,0,3,0,1,-1,0,0,0,0,0
